State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Kollam,"BMS|RevathyCinemaxRgbRealLaserParippally",Malayalam,10:00,Gold3D,₹180,553,71
Kerala,Taliparamba,"BMS|ClassicCinema4KDolbyAtmosTaliparamba",Malayalam,10:00,Classic,₹150,349,8
Kerala,Perinthalmanna,"PTM|VismayaCinemas4KDolbyAtmosPerinthalmanna",Malayalam,10:00,Platinum,₹100,198,26
Kerala,Changanassery,"BMS|AnuAbhinayaCineplex4KDolby71Changanassery",Malayalam,10:15,Lounge3D,₹190,199,9
Kerala,Changanassery,"BMS|AnuAbhinayaCineplex4KDolby71Changanassery",Malayalam,10:15,Prime3D,₹170,387,19
Kerala,Changanassery,"BMS|AnuAbhinayaCineplex4KDolby71Changanassery",Malayalam,10:15,Club3D,₹140,26,0
Kerala,Mavellikara,"BMS|SandraVallakaliCineComplex",Malayalam,10:15,PlatinumFamilyClass,₹130,114,22
Kerala,Mavellikara,"BMS|SandraVallakaliCineComplex",Malayalam,10:15,GoldBalcony,₹110,143,28
Kerala,Kasaragod,"BMS|MoviemaxCircleKasaragod",Malayalam,10:15,Max2,₹129.8,195,3
Kerala,Kariyad,"BMS|MyCinemasRedCarpetKariyad",Malayalam,10:15,3DGoldPackage320,₹320,32,10
Kerala,Kariyad,"BMS|MyCinemasRedCarpetKariyad",Malayalam,10:15,3DExecutivePackage220,₹220,96,3
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:25,Normal,₹200,27,5
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:25,Executive,₹220,78,14
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:25,Premium,₹240,41,5
Kerala,Palakkad,"PTM|PriyadarsiniCinema",Tamil,10:30,Executive,₹180,115,0
Kerala,Palakkad,"PTM|PriyadarsiniCinema",Tamil,10:30,Dress,₹140,470,0
Kerala,Kochi,"BMS|CasinoTalkiesAC2K3DDolbySurround71Aluva",Malayalam,10:30,Daimond3DGlass,₹180,442,5
Kerala,Thrissur,"BMS|RagamTheatre4KDolbyAtmosThrissur",Malayalam,10:30,Balcony,₹175,197,70
Kerala,Thrissur,"BMS|RagamTheatre4KDolbyAtmosThrissur",Malayalam,10:30,FirstClass,₹145,550,109
Kerala,Trivandrum,"BMS|SuryaMultiplex4KDolbyAtmosNedumangad",Malayalam,10:30,Platinum,₹250,28,0
Kerala,Trivandrum,"BMS|SuryaMultiplex4KDolbyAtmosNedumangad",Malayalam,10:30,Gold,₹130,248,2
Kerala,Anchal,"BMS|ArchanaCinemasAcDolbyAtmosAnchalKerala",Malayalam,10:30,Recliner3D,₹280,9,0
Kerala,Anchal,"BMS|ArchanaCinemasAcDolbyAtmosAnchalKerala",Malayalam,10:30,MovieMax3D,₹160,272,0
Kerala,Kochi,"BMS|PvrForumMallKochi",Malayalam,10:30,LuxePrime,₹580,42,12
Kerala,Kochi,"BMS|PvrForumMallKochi",Malayalam,10:30,Luxe,₹480,16,2
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Malayalam,10:30,Recliner,₹480,11,4
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Malayalam,10:30,Prime,₹260,120,53
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Malayalam,10:30,Classic,₹240,119,18
Kerala,Mukkam,"PTM|RoseCinePalaceTripleBeam3DMukkam",Malayalam,10:30,Executive3DChargesInclusive,₹149.8,350,73
Kerala,Palakkad,"PTM|EvmNewTheatrePudunagaram",Tamil,10:30,Gold,₹100,207,0
Kerala,Mulleria,"BMS|KaveriCinemasACDtsDolbyKarmamthody",Malayalam,10:30,Standard,₹110,220,0
Kerala,Mundakayam,"BMS|RdCinemasMundakayam",Malayalam,10:30,Gold3D,₹345,30,0
Kerala,Mundakayam,"BMS|RdCinemasMundakayam",Malayalam,10:30,Executive3D,₹180,267,3
Kerala,Mundakayam,"BMS|RdCinemasMundakayam",Malayalam,10:30,Economy3D,₹130,19,0
Kerala,Alakode,"BMS|AlakodeFilmCity4KDolbyAtmos",Malayalam,10:30,Surya,₹160,284,3
Kerala,Kollam,"BMS|ParthaMovieHouses4KAtmos",Malayalam,10:30,Platinum,₹220,33,0
Kerala,Kollam,"BMS|ParthaMovieHouses4KAtmos",Malayalam,10:30,Gold,₹150,287,17
Kerala,Pathanamthitta,"BMS|TrinityMovieMaxPathanamthitta",Malayalam,10:30,Balcony,₹170,150,32
Kerala,Pathanamthitta,"BMS|TrinityMovieMaxPathanamthitta",Malayalam,10:30,Special,₹150,100,4
Kerala,Payyanur,"BMS|ArchanaCineplexRgbLaser4K3DAtmosPayyanur",Malayalam,10:30,Standard,₹129.7,278,62
Kerala,Kuthuparamba,"BMS|BabyCinemasKuthuparamba",Malayalam,10:30,Standard,₹110,216,7
Kerala,Parappanangadi,"BMS|JayaKeralaTheatreParappanangadi",Malayalam,10:30,Standard,₹80,546,1
Kerala,Parappanangadi,"BMS|JayaKeralaTheatreParappanangadi",Malayalam,10:30,Executive,₹100,100,0
Kerala,Edacheri,"PTM|VeecheeCinemasAC2K3DEdacheri",Malayalam,10:30,Executive,₹100,184,0
Kerala,Karunagapally,"BMS|MyCinemasHJComplexKarunagapally",Malayalam,10:30,3DClassicPack180,₹180,194,8
Kerala,Erattupetta,"BMS|SuryaTheater4KDolbyAtmosErattupetta",Hindi,10:30,Silver,₹150,194,63
Kerala,Kochi,"BMS|JMaxByGejoTheatre2KDolby71ACPattimatto",Malayalam,10:30,Platinum,₹180,90,14
Kerala,Kochi,"BMS|JMaxByGejoTheatre2KDolby71ACPattimatto",Malayalam,10:30,Gold,₹160,126,3
