State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,19:05,Premium,₹220,33,11
Kerala,Perinthalmanna,"PTM|MallikaPlexChithralayaAngadipuram",Tamil,19:15,Executive,₹100,174,6
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Tamil,19:25,Normal,₹100,30,5
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Tamil,19:25,Executive,₹140,45,10
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Tamil,19:25,Premium,₹180,95,48
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Tamil,19:45,Recliner,₹450,27,1
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Tamil,19:45,Premium,₹220,146,8
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Tamil,19:45,Executive,₹150,25,4
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Tamil,19:45,Lounger,₹250,22,0
Kerala,Kollengode,"PTM|GowriMovieHouse2KDolby71Kollengode",Tamil,20:45,FirstClass,₹110,129,0
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Tamil,20:45,Sofa,₹140,42,0
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Tamil,20:45,Executive,₹110,156,0
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,20:55,Normal,₹180,34,0
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,20:55,Executive,₹200,51,16
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,20:55,Premium,₹220,34,33
Kerala,Palakkad,"BMS|VCinemasSreeDeviDurgaPalakkad",Tamil,21:00,Standard,₹129.8,126,25
Kerala,Kozhikode,"BMS|EMaxCinemasDolbyAtmosRgbLaserCalicut",Tamil,21:15,Audi3,₹160,151,16
Kerala,Kollam,"BMS|RevathyCinemaxRgbRealLaserParippally",Tamil,21:15,Platinum,₹250,28,0
Kerala,Kollam,"BMS|RevathyCinemaxRgbRealLaserParippally",Tamil,21:15,Gold,₹150,181,6
Kerala,Kozhinjampara,"BMS|CowmalyaTheatreKozhinjampara",Tamil,21:15,Gold,₹129.8,207,12
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Tamil,21:30,Gold,₹150,66,21
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Tamil,21:30,Executive,₹130,198,46
